"timecode","shot_id","kinds","verdict","note"
"00:00:17.633","shot_0017","highlight_limited skin_hue_shift","ok",""
"00:00:18.367","shot_0018","highlight_limited","ok",""
"00:00:22.267","shot_0022","skin_hue_shift","fix",""
"00:00:28.500","shot_0029","highlight_limited","fix",""
"00:00:30.467","shot_0031","highlight_limited","ok",""
"00:00:32.033","shot_0032","skin_hue_shift","ok",""
"00:00:37.367","shot_0036","highlight_limited","ok",""
"00:00:50.033","shot_0043","highlight_limited","fix",""
"00:00:52.300","shot_0045","highlight_limited skin_hue_shift","fix",""
"00:00:55.267","shot_0047","skin_hue_shift","ok",""
"00:00:56.200","shot_0048","highlight_limited skin_hue_shift","fix",""
"00:01:01.133","shot_0051","highlight_limited skin_hue_shift","fix",""
"00:01:01.500","shot_0052","highlight_limited skin_hue_shift","ok",""
"00:01:01.967","shot_0053","skin_hue_shift","fix",""
"00:01:07.933","shot_0055","skin_hue_shift","fix",""
"00:01:17.367","shot_0063","highlight_limited","ok",""
"00:01:21.700","shot_0068","highlight_limited","fix",""
"00:01:22.567","shot_0069","highlight_limited","ok",""
"00:01:28.000","shot_0071","highlight_limited","fix",""
"00:01:35.800","shot_0074","skin_hue_shift","ok",""
"00:01:37.167","shot_0075","skin_hue_shift","ok",""
"00:01:39.367","shot_0076","highlight_limited","fix",""
"00:01:40.667","shot_0077","highlight_limited skin_hue_shift","fix",""
"00:01:48.067","shot_0080","highlight_limited","ok",""
"00:01:50.467","shot_0081","highlight_limited","ok",""
"00:01:55.200","shot_0082","highlight_limited","ok",""
"00:01:59.033","shot_0083","skin_hue_shift","fix",""
"00:02:02.867","shot_0084","highlight_limited","fix",""
"00:02:03.500","shot_0085","highlight_limited","ok",""
"00:02:06.367","shot_0087","skin_hue_shift","ok",""
"00:02:12.067","shot_0089","highlight_limited skin_hue_shift","fix",""
"00:02:19.433","shot_0092","highlight_limited","ok",""
"00:02:28.233","shot_0095","highlight_limited skin_hue_shift","fix",""
"00:02:32.000","shot_0097","highlight_limited","fix",""
"00:02:41.200","shot_0100","skin_hue_shift","ok",""
"00:02:43.067","shot_0101","highlight_limited skin_hue_shift","fix",""
"00:02:44.867","shot_0102","skin_hue_shift","ok",""
"00:02:47.733","shot_0103","highlight_limited","ok",""
"00:02:56.467","shot_0106","skin_hue_shift","ok",""
"00:03:14.633","shot_0118","skin_hue_shift","fix",""
"00:03:18.933","shot_0120","highlight_limited","ok",""
"00:03:29.367","shot_0124","skin_hue_shift","ok",""
"00:03:32.933","shot_0125","skin_hue_shift","ok",""
"00:03:46.367","shot_0130","highlight_limited","fix",""
"00:03:57.567","shot_0132","skin_hue_shift","ok",""
